,address,district,area,bedrooms,garage,type,rent,total,price_per_m2,valor_estimado_area,location,coordinates
6083,Rua Luís César Pannain,Lapa,384,3,5,Casa,15000,17140,8980,3448320,"Rua Luís César Pannain, Lapa, São Paulo, SP","(-23.5321902, -46.7096149)"
6084,Rua Sales Júnior,Lapa,225,4,3,Apartamento,10000,14950,8980,2020500,"Rua Sales Júnior, Lapa, São Paulo, SP","(-23.5325926, -46.7154638)"
6085,Rua Tomé de Souza,Lapa,460,5,6,Casa,13600,15710,8980,4130800,"Rua Tomé de Souza, Lapa, São Paulo, SP","(-23.5238677, -46.7181304)"
6136,Avenida Cangaíba,Cangaíba,39,2,1,Apartamento,1200,1482,4984,194376,"Avenida Cangaíba, Cangaíba, São Paulo, SP","(-23.5080356, -46.5341903)"
6137,Avenida Cangaíba,Cangaíba,39,2,0,Apartamento,950,1379,4984,194376,"Avenida Cangaíba, Cangaíba, São Paulo, SP","(-23.5080356, -46.5341903)"
6138,Rua Professor Alves Pedroso,Cangaíba,50,2,1,Apartamento,1490,1810,4984,249200,"Rua Professor Alves Pedroso, Cangaíba, São Paulo, SP","(-23.5000911, -46.5241411)"
6139,Avenida Doutor Assis Ribeiro,Cangaíba,52,2,1,Apartamento,1500,2008,4984,259168,"Avenida Doutor Assis Ribeiro, Cangaíba, São Paulo, SP",
6140,Avenida Cangaíba,Cangaíba,35,1,0,Studio e kitnet,862,895,4984,174440,"Avenida Cangaíba, Cangaíba, São Paulo, SP","(-23.5080356, -46.5341903)"
6141,Rua Professor Alves Pedroso,Cangaíba,47,2,1,Apartamento,1300,1730,4984,234248,"Rua Professor Alves Pedroso, Cangaíba, São Paulo, SP","(-23.5000911, -46.5241411)"
6142,Rua João de Godói Moreira,Socorro,56,1,0,Casa,1650,1720,6823,382088,"Rua João de Godói Moreira, Socorro, São Paulo, SP","(-23.6693083, -46.7203051)"
6143,Rua Olívia Guedes Penteado,Socorro,35,2,0,Apartamento,1500,2015,6823,238805,"Rua Olívia Guedes Penteado, Socorro, São Paulo, SP","(-23.6745401, -46.7088927)"
6144,Avenida do Rio Bonito,Socorro,53,3,1,Casa,2400,3586,6823,361619,"Avenida do Rio Bonito, Socorro, São Paulo, SP","(-23.6917396, -46.7016254)"
6145,Rua Rego Freitas,Socorro,45,1,0,Apartamento,2080,2550,6823,307035,"Rua Rego Freitas, Socorro, São Paulo, SP",
6146,Avenida João de Barros,Socorro,50,2,1,Apartamento,2900,3562,6823,341150,"Avenida João de Barros, Socorro, São Paulo, SP","(-23.6741871, -46.7162114)"
6147,Rua José Rafaeli,Socorro,85,3,1,Apartamento,1800,2491,6823,579955,"Rua José Rafaeli, Socorro, São Paulo, SP","(-23.6707812, -46.7207792)"
6148,Rua Tapuias,Socorro,70,3,1,Apartamento,3190,4113,6823,477610,"Rua Tapuias, Socorro, São Paulo, SP","(-23.6707308, -46.7164498)"
6149,Rua José Rafaeli,Socorro,80,3,1,Apartamento,2125,2948,6823,545840,"Rua José Rafaeli, Socorro, São Paulo, SP","(-23.6707812, -46.7207792)"
6150,Avenida Engenheiro José Salles,Socorro,72,3,1,Apartamento,3416,4325,6823,491256,"Avenida Engenheiro José Salles, Socorro, São Paulo, SP","(-23.6890836, -46.6998687)"
6151,Avenida Rio Bonito,Socorro,55,2,1,Apartamento,1955,3140,6823,375265,"Avenida Rio Bonito, Socorro, São Paulo, SP","(-23.67642, -46.711753)"
6152,Rua Olívia Guedes Penteado,Socorro,60,1,0,Studio e kitnet,1270,1409,6823,409380,"Rua Olívia Guedes Penteado, Socorro, São Paulo, SP","(-23.6745401, -46.7088927)"
6153,Rua Marcílio Dias,Socorro,66,2,1,Apartamento,6600,7454,6823,450318,"Rua Marcílio Dias, Socorro, São Paulo, SP","(-23.6729399, -46.7151209)"
6311,Rua Engenheiro Bianor,Butantã,45,2,1,Apartamento,3850,4723,10415,468675,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6312,Rua Engenheiro Bianor,Butantã,29,1,1,Studio e kitnet,2790,3392,10415,302035,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6313,Avenida Corifeu de Azevedo Marques,Butantã,30,1,0,Studio e kitnet,1200,1266,10415,312450,"Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, SP","(-23.5710873, -46.7195707)"
6314,Rua Engenheiro Bianor,Butantã,1,1,1,Studio e kitnet,2490,2987,10415,10415,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6315,Avenida Corifeu de Azevedo Marques,Butantã,26,1,0,Studio e kitnet,1100,1164,10415,270790,"Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, SP","(-23.5710873, -46.7195707)"
6316,Rua Doutor Paulo Nogueira Filho,Butantã,72,2,1,Apartamento,1250,2383,10415,749880,"Rua Doutor Paulo Nogueira Filho, Butantã, São Paulo, SP",
6317,Rua Augusto Farina,Butantã,22,1,0,Studio e kitnet,3500,3635,10415,229130,"Rua Augusto Farina, Butantã, São Paulo, SP","(-23.5842661, -46.7391108)"
6318,Rua Iquiririm,Butantã,65,2,2,Apartamento,3000,4246,10415,676975,"Rua Iquiririm, Butantã, São Paulo, SP","(-23.5735468, -46.7277473)"
6319,Avenida Corifeu de Azevedo Marques,Butantã,20,1,0,Studio e kitnet,1200,1266,10415,208300,"Avenida Corifeu de Azevedo Marques, Butantã, São Paulo, SP","(-23.5710873, -46.7195707)"
6320,Rua Dráusio,Butantã,37,1,1,Apartamento,3300,3902,10415,385355,"Rua Dráusio, Butantã, São Paulo, SP","(-23.5740631, -46.7094432)"
6321,Rua Gerivatiba,Butantã,35,1,1,Studio e kitnet,3800,5057,10415,364525,"Rua Gerivatiba, Butantã, São Paulo, SP","(-23.5721493, -46.7023585)"
6322,Rua Professor Ari Bouzan,Butantã,20,1,0,Studio e kitnet,854,937,10415,208300,"Rua Professor Ari Bouzan, Butantã, São Paulo, SP","(-23.5785274, -46.7341594)"
6323,Rua Agostinho Cantu,Butantã,63,2,1,Apartamento,3000,4328,10415,656145,"Rua Agostinho Cantu, Butantã, São Paulo, SP","(-23.5697939, -46.704856)"
6324,Rua Eugène Carrière,Butantã,67,3,1,Apartamento,2800,3596,10415,697805,"Rua Eugène Carrière, Butantã, São Paulo, SP",
6325,Avenida Professor José Maria Alkmin,Butantã,60,2,1,Apartamento,1620,2567,10415,624900,"Avenida Professor José Maria Alkmin, Butantã, São Paulo, SP",
6326,Rua Gerivatiba,Butantã,37,1,1,Studio e kitnet,6500,7758,10415,385355,"Rua Gerivatiba, Butantã, São Paulo, SP","(-23.5721493, -46.7023585)"
6327,Rua Engenheiro Bianor,Butantã,26,1,0,Studio e kitnet,2720,3252,10415,270790,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6328,Rua Gerivatiba,Butantã,37,1,1,Apartamento,5050,6528,10415,385355,"Rua Gerivatiba, Butantã, São Paulo, SP","(-23.5721493, -46.7023585)"
6329,Rua Dráusio,Butantã,36,1,0,Studio e kitnet,3000,3775,10415,374940,"Rua Dráusio, Butantã, São Paulo, SP","(-23.5740631, -46.7094432)"
6330,Rua Sapetuba,Butantã,30,1,0,Studio e kitnet,2200,2644,10415,312450,"Rua Sapetuba, Butantã, São Paulo, SP","(-23.5737892, -46.7107668)"
6331,Rua Gerivatiba,Butantã,35,1,1,Apartamento,5800,7148,10415,364525,"Rua Gerivatiba, Butantã, São Paulo, SP","(-23.5721493, -46.7023585)"
6332,Rua Martins,Butantã,25,1,0,Apartamento,2500,2996,10415,260375,"Rua Martins, Butantã, São Paulo, SP","(-23.5775539, -46.7092015)"
6333,Rua Engenheiro Bianor,Butantã,26,1,0,Apartamento,3200,3738,10415,270790,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6334,Rua Engenheiro Bianor,Butantã,50,2,0,Apartamento,4500,5461,10415,520750,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6335,Rua Engenheiro Bianor,Butantã,27,1,0,Studio e kitnet,3099,3639,10415,281205,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6336,Rua Dráusio,Butantã,28,0,0,Studio e kitnet,2600,3064,10415,291620,"Rua Dráusio, Butantã, São Paulo, SP","(-23.5740631, -46.7094432)"
6337,Avenida Valdemar Ferreira,Butantã,74,2,1,Apartamento,3000,4224,10415,770710,"Avenida Valdemar Ferreira, Butantã, São Paulo, SP","(-23.5721248, -46.7045921)"
6338,Rua Dráusio,Butantã,28,1,0,Apartamento,2000,2397,10415,291620,"Rua Dráusio, Butantã, São Paulo, SP","(-23.5740631, -46.7094432)"
6339,Avenida Otacílio Tomanik,Butantã,89,3,2,Apartamento,3468,4474,10415,926935,"Avenida Otacílio Tomanik, Butantã, São Paulo, SP",
6340,Avenida Professor Francisco Morato,Butantã,68,2,1,Apartamento,5700,6573,10415,708220,"Avenida Professor Francisco Morato, Butantã, São Paulo, SP","(-23.5727841, -46.7048956)"
6341,Rua Engenheiro Bianor,Butantã,32,1,0,Apartamento,3500,4118,10415,333280,"Rua Engenheiro Bianor, Butantã, São Paulo, SP","(-23.5712228, -46.7078433)"
6342,Rua Augusto Farina,Butantã,140,3,2,Casa,3800,4186,10415,1458100,"Rua Augusto Farina, Butantã, São Paulo, SP","(-23.5842661, -46.7391108)"
6343,Rua Dionísio Pedrellini,Butantã,160,3,2,Casa,4377,5028,10415,1666400,"Rua Dionísio Pedrellini, Butantã, São Paulo, SP",
6344,Rua Keisuke Koza,Butantã,50,1,1,Casa,2000,2235,10415,520750,"Rua Keisuke Koza, Butantã, São Paulo, SP",
6345,Rua Augusto Farina,Butantã,230,3,2,Casa,4940,5483,10415,2395450,"Rua Augusto Farina, Butantã, São Paulo, SP","(-23.5842661, -46.7391108)"
6346,Rua Augusto Farina,Butantã,180,2,2,Casa,4000,4520,10415,1874700,"Rua Augusto Farina, Butantã, São Paulo, SP","(-23.5842661, -46.7391108)"
6347,Rua Doutor João Vieira Neves,Butantã,60,2,2,Apartamento,2300,3089,10415,624900,"Rua Doutor João Vieira Neves, Butantã, São Paulo, SP",
6348,Rua Uberlândia,Butantã,64,2,1,Apartamento,1650,2628,10415,666560,"Rua Uberlândia, Butantã, São Paulo, SP",
6349,Rua Anete Queiroz Lacerda,Butantã,320,4,4,Casa,4590,5304,10415,3332800,"Rua Anete Queiroz Lacerda, Butantã, São Paulo, SP","(-23.5788272, -46.7319131)"
6350,Avenida São Paulo Paraná,Butantã,77,3,1,Apartamento,2700,3448,10415,801955,"Avenida São Paulo Paraná, Butantã, São Paulo, SP",
6351,Rua Sapetuba,Butantã,79,3,1,Apartamento,6000,7285,10415,822785,"Rua Sapetuba, Butantã, São Paulo, SP","(-23.5737892, -46.7107668)"
